Employment,Country,Student,EdLevel,DevType,YearsCode,CompTotal,CompFreq,ConvertedComp,WorkWeekHrs,Age,Gender,Ethnicity,NormalizedAnnualCompensation
full-time,India,No,Bachelors degree,full-stack,7,,Monthly,,,29,Man,,
full-time,Germany,No,Bachelors degree,Developer,10,3550,Monthly,48804,40,23,Man,White,42600
full-time,India,No,Masters degree ,Developer,12,1600000,Yearly,22388,40,,Man,Asian,1600000
full-time,Denmark,No,Secondary school,Developer,30,35000,Monthly,64452,37,41,Man,White,420000
full-time,Estonia,No,No degree,Data or business analyst,10,1500,Monthly,20628,20,31,Man,White,18000
full-time,Switzerland,No,Masters degree ,Developer,23,135000,Yearly,135625,42,43,Man,White,135000
full-time,United States,No,Bachelors degree,Developer,11,72500,Yearly,72500,43,29,Man,White,72500
full-time,United States,No,Masters degree ,Developer,12,11400,Yearly,11400,45,29,Man,White,11400
full-time,Spain,Yes,Other doctoral degree ,Academic researcher,20,20000,Yearly,22915,40,28,Man,Hispanic,20000
full-time,Russian Federation,No,Masters degree ,Developer,18,3000,Monthly,36000,50,34,Man,,36000
full-time,Germany,No,Masters degree ,Developer,22,80000,Yearly,91660,40,34,Man,White,80000
full-time,Iran,No,Masters degree ,Database administrator,11,50000000,Monthly,14256,44,29,Man,Middle Eastern,600000000
full-time,Norway,No,Masters degree ,Academic researcher,20,600000,Yearly,71097,375,27,Man,White,600000
full-time,Serbia,No,Bachelors degree,Developer,12,1500,Monthly,20628,40,30,Woman,White,18000
full-time,United States,No,Masters degree ,full-stack,14,125000,Yearly,125000,45,33,Man,White,125000
